ID,icx,icy,mag,mag_std,sky,niter,CHI,SHARP,ra,dec,ifuslot,xfplane,yfplane
1,48.491,27.126,18.912,0.0677,1.011,7.0,0.75,1.204,207.5912694621973,51.35350802215034,053,172.291,-49.574
2,27.017,36.808,19.582,0.068,-0.035,7.0,0.5,0.982,207.6017418157124,51.35371103352547,053,150.817,-39.891999999999996
3,1.105,48.267,19.966,0.0805,-0.896,7.0,0.22,0.046,207.61434047005983,51.353897283427905,053,124.905,-28.432999999999996
1,18.178,11.207,19.759,0.0605,0.318,5.0,0.36,0.891,207.55991971728176,51.35682191037626,052,241.978,-65.493
3,9.196,16.975,19.656,0.066,-0.017,5.0,0.45,0.941,207.5645923481997,51.35734918184509,052,232.996,-59.724999999999994
2,46.389,11.478,18.873,0.0423,-0.468,7.0,0.46,0.676,207.54836823115568,51.35988504848698,052,270.189,-65.222
4,32.632,43.951,19.536,0.0561,0.558,7.0,0.38,0.707,207.55954311332908,51.36676142253344,052,256.432,-32.748999999999995
1,9.472,3.686,19.349,0.0605,-0.564,7.0,0.55,0.981,207.59337343553807,51.25572511381284,024,33.272,-373.014
2,12.791,26.26,18.439,0.0526,-0.729,7.0,0.81,1.015,207.59584509768808,51.26187142102266,024,36.591,-350.44
3,1.423,48.442,19.777,0.0816,0.621,5.0,0.35,0.64,207.6242422942169,51.44159498248952,082,225.223,271.742
1,45.345,6.286,18.38,0.0619,-1.232,7.0,1.05,0.179,207.59897034637703,51.435446150218404,082,269.145,229.586
2,30.522,8.573,18.213,0.1043,-0.419,7.0,1.97,1.326,207.60546253925813,51.43445767910253,082,254.322,231.873
2,26.188,50.74,18.858,0.119,0.493,5.0,1.05,1.316,207.73131269474146,51.474774768868635,104,49.238,474.175
3,3.028,51.54,19.334,0.2648,-0.957,5.0,0.96,1.556,207.74098508618565,51.47250759320566,104,26.078,474.97499999999997
4,33.628,50.83,18.842,0.1463,-0.844,7.0,1.39,1.665,207.72826475364445,51.47559190463033,104,56.678,474.265
1,45.761,49.758,19.184,0.0995,-1.198,35.0,1.09,1.85,207.7230851977262,51.476611732705614,104,68.811,473.193
14,49.701,11.037,15.941,0.0532,-0.595,6.0,2.84,-0.763,207.61205671072625,51.3132723699467,044,73.673,-165.512
3,19.383,0.722,13.595,0.0948,59.395,7.0,5.67,0.829,207.62274829396668,51.30740148016404,044,43.355,-175.827
13,38.972,10.793,15.906,0.0557,-0.808,7.0,3.1,-1.493,207.61642001508346,51.31206900385714,044,62.944,-165.756
17,24.686,13.109,16.45,0.0481,0.675,7.0,2.04,-1.181,207.622678853529,51.31114411639727,044,48.658,-163.44
15,4.387,13.061,15.992,0.0271,1.021,8.0,1.33,-0.312,207.63100340693205,51.308972634417266,044,28.358999999999998,-163.488
2,12.971,1.346,13.702,0.0512,46.606,10.0,4.49,0.512,207.62548645069612,51.30687963344892,044,36.943,-175.20299999999997
16,10.02,12.596,15.593,0.0337,0.758,10.0,2.0,0.137,207.62861201621556,51.309452544596446,044,33.992,-163.95299999999997
7,42.699,3.8,14.683,0.0413,-14.281,11.0,3.76,0.262,207.6137004378583,51.31067072431088,044,66.67099999999999,-172.749
8,47.643,4.117,14.916,0.0272,-26.456,11.0,2.21,-0.244,207.61172464491273,51.31127771402565,044,71.615,-172.432
1,3.17,1.513,13.684,0.094,73.036,13.0,8.82,0.919,207.62953782946374,51.30587995018014,044,27.141999999999996,-175.036
5,25.808,1.018,14.147,0.0659,-0.915,13.0,3.81,0.414,207.62016124408956,51.30816073129889,044,49.78,-175.53099999999998
10,21.848,5.985,15.899,0.0394,0.321,14.0,1.78,-0.025,207.62263182450704,51.30901418654009,044,45.81999999999999,-170.564
6,30.511,1.192,15.588,0.0484,-7.873,16.0,1.28,0.255,207.6182602515787,51.308705505970494,044,54.483,-175.357
9,33.721,6.084,16.583,0.0689,-14.158,20.0,2.97,-1.64,207.61777467091432,51.31030222364136,044,57.693,-170.46499999999997
4,8.12,1.273,13.963,0.0627,62.145,28.0,2.57,0.291,207.62746521568053,51.30634491605024,044,32.092,-175.27599999999998
1,28.138,44.979,20.33,0.0731,-0.05,5.0,0.29,0.178,207.56764718958914,51.304456098197186,033,153.877,-233.061
